round,grad_total_norm_mean,grad_backbone_norm_mean,grad_head_norm_mean,grad_cos_consecutive_mean,grad_cos_to_mean_mean,grad_train_val_cos,grad_n_probe_batches,experiment
12,0.5087726957752007,0.4252249028531706,0.26596345807682065,0.3460241249692808,0.4477173547424644,0.24106263202693698,8.0,baseline_random
13,0.5033095005850488,0.4261147695792906,0.2541076815519345,0.4079188073881216,0.578489007230038,0.06619542520079662,8.0,baseline_random
14,0.5171207076791936,0.40061584917562476,0.3066424465000851,0.3067189071349336,0.474440042404974,0.37360554596769646,8.0,baseline_random
15,0.46162390765593664,0.38225333936828504,0.24778364289067278,0.17763326154418516,0.3871655679597265,0.11628198883928673,8.0,baseline_random
1,1.7333206116124498,1.2416258362818282,1.151470084959157,0.8355774401393237,0.9193136055272632,0.8958679157325923,8.0,fixed_lambda
2,1.8034809805171759,1.5126155708636255,0.934598239978438,0.549725540283746,0.7546527501275521,0.8204151073219181,8.0,fixed_lambda
3,1.83058984922368,1.6763600380038934,0.6997974883300975,0.21960817555094922,0.5267430523800415,0.6367171059700809,8.0,fixed_lambda
4,1.5035378227195229,1.3117640759974392,0.6983157039231258,0.3683647028840016,0.6000869882353431,0.5923237014185754,8.0,fixed_lambda
5,1.1943418805954686,1.0361985692076099,0.5672510661286726,0.30716086932962505,0.5306711020470709,0.3635428782138906,8.0,fixed_lambda
6,1.1953990838632738,1.0563206945975236,0.5383498502370833,0.25298692361539865,0.5154426349512505,0.4467510876456549,8.0,fixed_lambda
7,1.0784648137862118,0.9116810226575197,0.5491793757166189,0.2357188686085952,0.5570220309040423,0.41715050696407285,8.0,fixed_lambda
8,0.9358780573920594,0.7986561635836773,0.46511120022576147,0.3230520522652055,0.6057130847020894,0.1019695366011896,8.0,fixed_lambda
9,0.9163107197731748,0.7745469428989518,0.4578810879666734,0.18433248938130392,0.4836498734579928,0.42042750177929866,8.0,fixed_lambda
10,0.8033331118152537,0.6484261606358739,0.452125391806314,0.3046805150708317,0.5401908985195325,0.3873084759820381,8.0,fixed_lambda
11,0.754416700487551,0.6481648303336344,0.37071560480461746,0.15191838163863047,0.48195658672786273,0.2491635371212031,8.0,fixed_lambda
12,0.7529711124724783,0.6568429137748579,0.3572271273788762,0.23672879724362775,0.4528323198731896,0.002718034364479477,8.0,fixed_lambda
13,0.595495174653547,0.5023178025789421,0.30758727555234866,0.29726528972698085,0.5064671663431257,0.2130443076957449,8.0,fixed_lambda
14,0.6476520972820283,0.5395831675167604,0.33944219695040145,0.23718524253016185,0.44197383136310664,0.2681063384469546,8.0,fixed_lambda
15,0.6801433548828565,0.5943239577623691,0.31993898999445264,0.0797287311023263,0.351392619900561,0.35293765980361524,8.0,fixed_lambda
1,1.6941279022308096,1.193758068378558,1.1514899069864046,0.8609894353157452,0.9307172973993165,0.8928170702191085,8.0,full_model_fixed_epochs_lambda_budget
2,1.9117167857551642,1.6075825193160747,0.977032725231218,0.6170044247975917,0.7680020465481887,0.8806819396176826,8.0,full_model_fixed_epochs_lambda_budget
3,1.4188912911978235,1.253216874111542,0.6349233611882542,0.4341108931968468,0.5930733804336579,0.5400328597389378,8.0,full_model_fixed_epochs_lambda_budget
4,1.3292923997992803,1.1236914765023147,0.677808168625432,0.250850025039513,0.5193711861481825,0.5314770621521957,8.0,full_model_fixed_epochs_lambda_budget
5,1.2068234116380412,1.0440183327396224,0.5787186394786535,0.3699629021982832,0.5078021376667752,0.323776255716945,8.0,full_model_fixed_epochs_lambda_budget
6,1.1101197479240574,0.9739321249842401,0.5102243449265578,0.32371264242512315,0.5443116691206588,0.45709261018123726,8.0,full_model_fixed_epochs_lambda_budget
7,1.060250791814597,0.8907435984534955,0.5485183358105781,0.16828208160995808,0.47232552041848735,0.3546507129127407,8.0,full_model_fixed_epochs_lambda_budget
8,0.8352743352975104,0.7028232707118832,0.42760988637537284,0.36488350048997825,0.5301457762032369,0.5333359434776342,8.0,full_model_fixed_epochs_lambda_budget
9,0.9259701070948442,0.7628935901229876,0.49982646427380617,0.21186579187873877,0.45372077491385737,0.6130218403425896,8.0,full_model_fixed_epochs_lambda_budget
10,0.8639789808611658,0.7040128907226083,0.4743859314273308,0.12370647514091282,0.4377913032631606,0.2785582421631115,8.0,full_model_fixed_epochs_lambda_budget
11,0.7769449423542099,0.6681803597104372,0.38237727175919495,0.2164458131759417,0.5053977857729961,0.12774680004257113,8.0,full_model_fixed_epochs_lambda_budget
12,0.8059065388734421,0.7041916055970903,0.3787480209500528,0.1740647119740706,0.49343463990026076,-0.12429859133956951,8.0,full_model_fixed_epochs_lambda_budget
13,0.7118557110292281,0.6157067615295728,0.34456911865931483,0.3016293870484247,0.4728466699837316,-0.009250079421156136,8.0,full_model_fixed_epochs_lambda_budget
14,0.700121987828932,0.5721401332807814,0.3854568248726845,0.3988045675917206,0.5499525796725047,0.24208411740658145,8.0,full_model_fixed_epochs_lambda_budget
15,0.6442022890349072,0.5595701967552756,0.3077720453308276,0.21388066206569106,0.4475747318656863,0.3131982681541721,8.0,full_model_fixed_epochs_lambda_budget
1,1.758268858149598,1.264841434607126,1.1626778003748464,0.8161718242382088,0.9138485234110689,0.9100220722388477,8.0,full_model
2,1.7110286833324964,1.413973175839653,0.9127292807433112,0.5631546266950502,0.7299914672752876,0.7491535717063666,8.0,full_model
3,1.5685313955842213,1.4103881727100858,0.6610435627247586,0.3443001728398839,0.6128681520498024,0.7168866518774643,8.0,full_model
4,1.406553673431523,1.2058060638769241,0.694221107778336,0.34723661810867446,0.5521923553382881,0.6323835879930702,8.0,full_model
5,1.1537026123130303,0.9821146612307983,0.5778799497099076,0.2383529193248366,0.5369610841615238,0.598238918840692,8.0,full_model
6,1.010531084665105,0.8654362656459798,0.4978184002000964,0.3069679756549474,0.5454117564355244,0.4919983028356795,8.0,full_model
7,1.093072821289247,0.915657919807044,0.5706123894440926,0.28720292114737,0.49653518670099317,0.515033157546764,8.0,full_model
8,1.0022858074895358,0.8609075761427629,0.49088260457590166,0.24947933270021924,0.4879672078670536,0.2932219397721144,8.0,full_model
9,0.961478474997263,0.8303386872476299,0.448087414132546,0.30246621844322585,0.5041099307270789,0.5984780821162994,8.0,full_model
10,0.8952628524241042,0.7486234747649058,0.46019122220878417,0.3206836583574942,0.562353888724528,0.49768287398360095,8.0,full_model
11,0.7917088027030542,0.6789446470203485,0.3909689650989274,0.3252225867840607,0.5172593030959831,0.2973351820535962,8.0,full_model
12,0.7351365079171481,0.6301387217710865,0.36527241692375206,0.31917111923579705,0.5053446137994694,0.16736012339436296,8.0,full_model
13,0.717491470568292,0.6281420502181397,0.3311221086825678,0.2830931652243104,0.4998622049957676,0.17867788597350012,8.0,full_model
14,0.6877407461870522,0.5686076016765382,0.3674842499556442,0.30089521707969646,0.49306618722487483,0.2768715543854406,8.0,full_model
15,0.6982520214408383,0.6078399530526323,0.32914216243107675,0.22455641179833302,0.40209960561863667,0.11750975891350372,8.0,full_model
1,1.6684019286265361,1.1712676438126643,1.1456544518054017,0.8216646764758074,0.9153244129649337,0.9162629499144515,8.0,knowledge_only
2,1.3164287811448703,0.9706823853610622,0.840596178102879,0.7302929346175413,0.8713628166551765,0.8199748105034358,8.0,knowledge_only
3,1.2347745215282344,1.0661753006946724,0.582704067860322,0.44468351215417,0.6297988549066219,0.6722835993913915,8.0,knowledge_only
4,1.045241276916672,0.8347774779872212,0.5873016883782907,0.5540376245027319,0.6958131624790658,0.7385789465376031,8.0,knowledge_only
5,0.9490689622860652,0.7741550631872635,0.5100058033429258,0.4168924895269468,0.6591244902716658,0.6559805683629809,8.0,knowledge_only
6,0.754958906541898,0.6040388440089259,0.42114192544979795,0.37052108996631083,0.5919324444473463,0.7244275499994315,8.0,knowledge_only
7,0.8131722347902709,0.6450902193419464,0.4490028442523492,0.36410348868348613,0.5603973790413468,0.49816974243385354,8.0,knowledge_only
8,0.6975891707892659,0.5520535880642186,0.39408126157553053,0.300342168319247,0.4879118777997301,0.2807342084262115,8.0,knowledge_only
9,0.7601094294964461,0.6153376972820477,0.4054629222462613,0.5747911733976679,0.6969524495142339,0.5351113497719336,8.0,knowledge_only
10,0.7050669613641916,0.5645513799745449,0.38479836394417327,0.26688568444096816,0.4741087991251215,0.42563062783634287,8.0,knowledge_only
11,0.599031464679534,0.4878461140741817,0.32805830215403053,0.6147510965474858,0.7005607139803111,0.2862536673520426,8.0,knowledge_only
12,0.5875082373535228,0.4910340665336935,0.30474162865167786,0.31288023631901385,0.4908784638296309,0.1759242839757901,8.0,knowledge_only
13,0.5374363290458657,0.4432773353332585,0.2868227416732464,0.2373836646383065,0.40572516176262524,0.28429667869120034,8.0,knowledge_only
14,0.6179805757436868,0.49459497513305084,0.34745724166555453,0.1473306122674316,0.4957404723279262,0.31469551771059534,8.0,knowledge_only
15,0.5133342280156385,0.4318355317490048,0.2632271859448067,0.31531885853029873,0.47148763033338986,0.19858795102669682,8.0,knowledge_only
1,1.7347674705943454,1.2389431512556714,1.1569196396541566,0.8351566302143242,0.9121058914423559,0.8939428113619308,8.0,no_agent
2,1.6812820896637244,1.3870587355634116,0.9039041233041578,0.5412386101525322,0.6992027164999977,0.7778424278013889,8.0,no_agent
3,1.5452759506529727,1.3870362920555963,0.655831990937995,0.4104611472156562,0.49107008678152847,0.47833510906780835,8.0,no_agent
4,1.384943935598518,1.1853215102070571,0.6851816486019618,0.30548566861867177,0.5036577064634237,0.649611765574568,8.0,no_agent
5,1.2720071476127086,1.1173110992640605,0.5810024674062033,0.3007066941425375,0.5678832701946119,0.5104404735903236,8.0,no_agent
6,1.0912719324822695,0.9447287313993262,0.5261793128900417,0.2721622737177464,0.5466116380899944,0.46014422818639733,8.0,no_agent
7,1.097795322106292,0.9295930174191103,0.5581474407816764,0.286872211277997,0.4870228320765285,0.3391313940544723,8.0,no_agent
8,0.905693797875483,0.7742958816170383,0.4450225222597363,0.2679261873127989,0.4969861107128269,0.22861746876753353,8.0,no_agent
9,0.9524759407658779,0.7946481263120616,0.4989846356385188,0.29733178220726364,0.4642668427502854,0.5888474026768504,8.0,no_agent
10,0.8183560538224895,0.6760380091595899,0.4338622395108264,0.15130420538772243,0.48024261629006126,0.4430736609646746,8.0,no_agent
11,0.70720261647894,0.6076832605569431,0.3460666151366547,0.2169808665196927,0.41324164040306943,0.21970046252387015,8.0,no_agent
12,0.8031453221501117,0.7042298409386045,0.37147446846134535,0.28715064257911427,0.4275535696597753,0.2717843221361562,8.0,no_agent
13,0.663545186404317,0.5705485236443781,0.3247967963574919,0.20452101022251243,0.4051091768086702,0.3061965758877915,8.0,no_agent
14,0.6557323107459982,0.5554288918033927,0.32698321544376985,0.28269671933644674,0.4439616108261698,0.2626820303813786,8.0,no_agent
15,0.6646343074381889,0.5737375218066962,0.32352846032643884,0.23551791974283595,0.32997008614821566,-0.11584904121308937,8.0,no_agent
1,1.730102972233465,1.2586302431346739,1.1242626652834313,0.8452739815136349,0.9262156423571044,0.8354887900028553,8.0,uncertainty_only
2,1.8650750710719617,1.5743426467176915,0.9493460507658616,0.5070617794250867,0.7024534338591972,0.7560185707832836,8.0,uncertainty_only
3,1.5462605272808332,1.3811243789060836,0.6726966121910533,0.23590683540398252,0.5507573071451207,0.6905034962782759,8.0,uncertainty_only
4,1.260562201302774,1.0931780550468049,0.5973209203762632,0.38400759304753407,0.6194538675206088,0.5701085005600544,8.0,uncertainty_only
5,1.28365986471971,1.1260888246665146,0.5911487976279813,0.31396421962110527,0.5442792839497358,0.516529380911057,8.0,uncertainty_only
6,1.1251874185274287,0.9798173304187181,0.5333310201768309,0.10630997400447433,0.4928703861432087,0.5676141992979842,8.0,uncertainty_only
7,1.0306988332926785,0.8574195212359335,0.5462517282270682,0.21138673917748907,0.4674507784599487,0.34322120326858296,8.0,uncertainty_only
