round,labeled_size,miou_round,f1_round,epochs_observed,experiment
4,415,0.7142731427365767,0.8039989992953018,10,baseline_coreset
5,503,0.7201188883120203,0.8093930905298043,10,baseline_coreset
6,591,0.7337423764563136,0.8220902117439193,10,baseline_coreset
7,679,0.7320282057120779,0.8206136407674374,10,baseline_coreset
8,767,0.7325993218989977,0.8210193743461065,10,baseline_coreset
9,855,0.7165791336039599,0.8058904625058809,10,baseline_coreset
10,943,0.7375927513379859,0.8254203047484681,10,baseline_coreset
11,1031,0.74490326405627,0.8319829415361384,10,baseline_coreset
12,1119,0.7435403220950472,0.8307140107544366,10,baseline_coreset
13,1207,0.745606802872066,0.8323625571835752,10,baseline_coreset
14,1295,0.7458079470397582,0.8326624938914453,10,baseline_coreset
15,1383,0.7419611225402265,0.8294918634391495,10,baseline_coreset
1,151,0.6109104820244746,0.691309754738492,10,baseline_entropy
2,239,0.701017816241729,0.7913619773127819,10,baseline_entropy
3,327,0.716137659805503,0.8062301717681002,10,baseline_entropy
4,415,0.7362000783103017,0.8241450226680367,10,baseline_entropy
5,503,0.7435388322444791,0.8304727371007996,10,baseline_entropy
6,591,0.7438971641736403,0.8308023164958436,10,baseline_entropy
7,679,0.7463071484597201,0.833022802552947,10,baseline_entropy
8,767,0.7551715877078506,0.8405534159285251,10,baseline_entropy
9,855,0.7484629997618688,0.8353684826364312,10,baseline_entropy
10,943,0.7510723642360064,0.8372749139252926,10,baseline_entropy
11,1031,0.7683827239327277,0.8518111484070126,10,baseline_entropy
12,1119,0.7630505227268538,0.8472406077983017,10,baseline_entropy
13,1207,0.7540786377520649,0.8395262673951193,10,baseline_entropy
14,1295,0.761798985755584,0.8461354724873091,10,baseline_entropy
15,1383,0.7695754297092747,0.8526603390653423,10,baseline_entropy
1,151,0.6095062079995023,0.6888834187450243,10,baseline_llm_rs
2,239,0.6863984597042236,0.776989646887184,10,baseline_llm_rs
3,327,0.7068171868444673,0.7970721438817091,10,baseline_llm_rs
4,415,0.7121999190919769,0.8021227479540705,10,baseline_llm_rs
5,503,0.7075575238387339,0.7986945905147703,10,baseline_llm_rs
6,591,0.7321973614293751,0.8207917436558763,10,baseline_llm_rs
