round,labeled_size,mIoU,f1,selection_expected,selection_selected,selection_source,avg_uncertainty,avg_knowledge_gain,lambda_t,lambda_controller,lambda_controller_mode,miou_delta,rollback_flag,experiment
14,1383,0.7536328601273773,0.8390999123510512,88.0,88.0,pipeline,0.03695723569876423,,,,,-0.006443700913897343,False,baseline_wang_style
15,1383,0.7583528231262386,0.8433422488669894,,,,,,,,,0.004719962998861349,False,baseline_wang_style
1,239,0.6124224310564585,0.69188188665978,88.0,88.0,agent,,,,,,,False,fixed_k
2,327,0.693632739826525,0.7840651528103819,88.0,88.0,agent,,,,,,0.08121030877006641,False,fixed_k
3,415,0.713374098170031,0.8030724740227603,88.0,88.0,agent,,,,,,0.019741358343505988,False,fixed_k
4,503,0.7204125787605754,0.8095654720767027,88.0,88.0,agent,,,,,,0.00703848059054446,False,fixed_k
5,591,0.7320105869670963,0.8204091276246644,88.0,88.0,agent,,,,,,0.011598008206520904,False,fixed_k
6,679,0.7484065524670779,0.8346971848902003,88.0,88.0,agent,,,,,,0.01639596549998157,False,fixed_k
7,767,0.7360955830975324,0.823842873024152,88.0,88.0,agent,,,,,,-0.012310969369545455,False,fixed_k
8,855,0.7618057609617803,0.846278788070665,88.0,88.0,agent,,,,,,0.025710177864247896,False,fixed_k
9,943,0.7495905347556647,0.8360558046095512,88.0,88.0,agent,,,,,,-0.012215226206115593,False,fixed_k
10,1031,0.7528297506553298,0.8386177803290993,88.0,88.0,agent,,,,,,0.0032392158996650267,False,fixed_k
11,1119,0.7633051215072291,0.8474447355408696,88.0,88.0,agent,,,,,,0.010475370851899313,False,fixed_k
12,1207,0.7566315612895416,0.8420070058439616,88.0,88.0,agent,,,,,,-0.006673560217687502,False,fixed_k
13,1295,0.7612796173551376,0.8457098144531443,88.0,88.0,agent,,,,,,0.00464805606559604,False,fixed_k
14,1383,0.7530748127683208,0.8386468186508171,88.0,88.0,agent,,,,,,-0.008204804586816827,False,fixed_k
15,1383,0.7603436929846961,0.8448786613487984,,,,,,,,,0.007268880216375284,False,fixed_k
1,239,0.6091210614806968,0.6892058033373506,88.0,88.0,pipeline,0.675036076479146,0.5808403910097413,0.5,,,,False,fixed_lambda
2,327,0.7022821377959744,0.7922305187865533,88.0,88.0,pipeline,0.5259677510016434,0.6400150734337084,0.5,,,0.09316107631527759,False,fixed_lambda
3,415,0.7151978889828174,0.8047190844512677,88.0,88.0,pipeline,0.41557755461090395,0.52575963764183,0.5,,,0.012915751186843072,False,fixed_lambda
4,503,0.7231538871119042,0.8120420849175696,88.0,88.0,pipeline,0.3217486697020782,0.6282268325649528,0.5,,,0.007955998129086761,False,fixed_lambda
5,591,0.7230569060639775,0.8121380240478031,88.0,88.0,pipeline,0.6635942828151703,0.5238829514588282,0.5,,,-9.698104792665863e-05,False,fixed_lambda
6,679,0.7375918389797503,0.8251943573163384,88.0,88.0,pipeline,0.41929803739139,0.5997545422622909,0.5,,,0.014534932915772791,False,fixed_lambda
7,767,0.7523091997419533,0.8382587948874795,88.0,88.0,pipeline,0.44523431114331674,0.6970250969643318,0.5,,,0.01471736076220298,False,fixed_lambda
8,855,0.7511194790726025,0.837347466403889,88.0,88.0,pipeline,0.5482873118539692,0.5523608736367587,0.5,,,-0.0011897206693508577,False,fixed_lambda
9,943,0.7544089540106533,0.8399917889892932,88.0,88.0,pipeline,0.5494221355627839,0.6145354283964539,0.5,,,0.0032894749380508737,False,fixed_lambda
10,1031,0.7595941212767687,0.8443831855462123,88.0,88.0,pipeline,0.35014728341832196,0.49961391919842557,0.5,,,0.005185167266115398,False,fixed_lambda
11,1119,0.7646339530740347,0.8487892272362452,88.0,88.0,pipeline,0.560035516245357,0.6623853192684148,0.5,,,0.00503983179726597,False,fixed_lambda
12,1207,0.7537300636350106,0.8394403761592584,88.0,88.0,pipeline,0.5939110021618546,0.4462434347125841,0.5,,,-0.010903889439024095,False,fixed_lambda
13,1295,0.76675855615035,0.8503763728163539,88.0,88.0,pipeline,0.6138326773264126,0.47037177781867423,0.5,,,0.01302849251533944,False,fixed_lambda
