round,labeled_size,miou_round,f1_round,epochs_observed,experiment
12,1119,0.7556950870244283,0.8409443262253637,10,full_model_fixed_epochs_lambda_budget
13,1207,0.7625775903260958,0.8471389232009598,10,full_model_fixed_epochs_lambda_budget
14,1295,0.7657181293222737,0.8494743379007155,10,full_model_fixed_epochs_lambda_budget
15,1383,0.7615096805387185,0.8458573159931432,10,full_model_fixed_epochs_lambda_budget
1,151,0.6110579687010977,0.6912108221998298,10,full_model_policy_lambda
2,239,0.6972786212597061,0.7874600585210405,10,full_model_policy_lambda
3,327,0.7106429796781133,0.8002799307410902,10,full_model_policy_lambda
4,415,0.7355077166844032,0.8237629724822964,10,full_model_policy_lambda
5,503,0.7375158585624464,0.8252643246098164,10,full_model_policy_lambda
6,591,0.7452276857137132,0.8322108635410149,10,full_model_policy_lambda
7,679,0.7489045570271817,0.8350979690135338,10,full_model_policy_lambda
8,767,0.7419456353105541,0.8291130219647029,10,full_model_policy_lambda
9,855,0.7543087060237166,0.8399179134653442,10,full_model_policy_lambda
10,943,0.7591734934444536,0.843942276046467,10,full_model_policy_lambda
11,1031,0.7610577219224511,0.8456233965612647,10,full_model_policy_lambda
12,1119,0.7628625685986115,0.8471227137382318,10,full_model_policy_lambda
13,1207,0.7673112238034869,0.8507772461051585,10,full_model_policy_lambda
14,1295,0.7601296093704585,0.8446304074870163,10,full_model_policy_lambda
15,1383,0.761266939294136,0.8456348913417375,10,full_model_policy_lambda
1,151,0.6098682706970914,0.6887187135801638,10,full_model
2,239,0.7030147242380136,0.7931014596432784,10,full_model
3,327,0.7156008208183676,0.8051367582555995,10,full_model
4,415,0.7256966296912707,0.814512867534148,10,full_model
5,503,0.7421411754484866,0.8296152278031423,10,full_model
6,591,0.7492146967093931,0.8355762527250177,10,full_model
7,679,0.7450337552705645,0.8319055073135674,10,full_model
8,767,0.7582443162402588,0.8434094415965836,10,full_model
9,855,0.7525954595252686,0.8383556120796245,10,full_model
10,943,0.7566838381739104,0.8419709621766778,10,full_model
11,1031,0.7550434034743183,0.8404053603277633,10,full_model
12,1119,0.7577929459258763,0.8428468055690483,10,full_model
13,1207,0.7635728777167855,0.8476981937334189,10,full_model
14,1295,0.7604895048608498,0.8449891956669592,10,full_model
15,1383,0.7664824411518785,0.8501257080486722,10,full_model
1,151,0.6103562151498977,0.68919352835603,10,knowledge_only
2,239,0.6830883947025437,0.7734002955078193,10,knowledge_only
3,327,0.6917778808969905,0.7830480719298891,10,knowledge_only
4,415,0.7111927051571879,0.8014821951612029,10,knowledge_only
5,503,0.72143360834423,0.8109790289588977,10,knowledge_only
6,591,0.7288717037963789,0.8177277078909553,10,knowledge_only
7,679,0.7235354715376526,0.8124630106157225,10,knowledge_only
8,767,0.7334729160909809,0.8218836910965964,10,knowledge_only
9,855,0.7370373839776023,0.825048591737487,10,knowledge_only
10,943,0.7341429836372393,0.8224576216596724,10,knowledge_only
11,1031,0.7431494328381282,0.8305867687256996,10,knowledge_only
12,1119,0.7428979144399347,0.8304777531213517,10,knowledge_only
13,1207,0.7396525967241521,0.8270199192385868,10,knowledge_only
14,1295,0.7499579358088988,0.8362132417549992,10,knowledge_only
15,1383,0.7474098069760617,0.8339762846862817,10,knowledge_only
