round,epoch,labeled_size,loss,mIoU,f1,grad_train_val_cos,grad_cos_to_mean_mean,grad_cos_consecutive_mean,grad_total_norm_mean,experiment_name
6,5,591,0.11693002800552213,0.7309662951749799,0.8193784853771219,0.6638295888378684,0.464414405558316,0.029970309856884394,0.7063441176649254,no_normalization
6,6,591,0.11438306413438855,0.7120189933496635,0.8014997391521865,0.639765500158119,0.33129716768591877,-0.30102119902594804,0.714941771553893,no_normalization
6,7,591,0.10650365908636528,0.7269070061249809,0.8154663335021287,0.08404744643971833,0.37667443184480454,0.11328565067428821,0.6391106019124454,no_normalization
6,8,591,0.1027923325697581,0.7346413883991217,0.8224736370912987,0.593616424201654,0.5247978805076041,0.16671542418262128,0.6559581114421167,no_normalization
6,9,591,0.098686470884551,0.7384755495838015,0.82595687856582,0.4043393333338757,0.25722741678908534,-0.02380354569419853,0.5716718103536845,no_normalization
6,10,591,0.09445056653752619,0.7368614015127075,0.8244670997658391,-0.02930124008105849,0.3434480473624587,-0.02146721547885647,0.49815456752452525,no_normalization
7,1,679,0.3224220824312176,0.6413843289629362,0.7270805466069741,0.9170941949531003,0.9979684459371162,0.9958538752950096,2.9016453102761384,no_normalization
7,2,679,0.1536000452979782,0.6782608427100252,0.7678265600645392,0.8194700787046361,0.8963735287791554,0.7515081512632573,1.1731417804072681,no_normalization
7,3,679,0.13246274413265421,0.6956260418584216,0.7854770208761448,0.8109835105630122,0.6663521256887321,0.41351591158596873,0.8994357644639612,no_normalization
7,4,679,0.11970960880084151,0.7146014730938192,0.8040157683599537,0.7827956853840504,0.8634606758208905,0.7488161869155564,0.8148254686854816,no_normalization
7,5,679,0.111907730176604,0.7206830176119776,0.8097824426366796,0.4656921235270805,0.613040453108749,0.5648189851414277,0.734755934385812,no_normalization
7,6,679,0.10633197913949306,0.7003043414475787,0.790058669331362,-0.19913223871972127,0.42885222488030195,0.1862167809950772,0.6669480777240062,no_normalization
7,7,679,0.10438507896732296,0.7432609261958685,0.8302493309466652,0.2888283437180312,0.45143085575837805,0.11900612670600143,0.696140521790636,no_normalization
7,8,679,0.0994820295662217,0.7457491271490941,0.8326162535809041,0.5849421473526915,0.5592581814586801,0.5333449693993803,0.6104988859168049,no_normalization
7,9,679,0.09627311310824557,0.7414236627248199,0.8285919400799939,0.6995249491708809,0.3899633627313768,0.11451911329189816,0.5457340761059891,no_normalization
7,10,679,0.09157193361742962,0.7457542170520435,0.8323640283127871,0.29418328234407637,0.43706224211402295,0.20878961569830443,0.5317532899387488,no_normalization
8,1,767,0.36832561176172723,0.6523535295450409,0.7397233756983941,0.9416685052389676,0.9983842955444187,0.9968546141364246,3.6844238598222443,no_normalization
8,2,767,0.1551734020260616,0.7046982104666746,0.7947942395322585,0.8927437693163853,0.6838111829287576,0.23684159999814428,1.423324395751022,no_normalization
8,3,767,0.12710092138713566,0.7009826564710477,0.7908602303122587,0.7290550363800222,0.6547844040385615,0.3712249086427545,1.0396798757487367,no_normalization
